index,rtt_ns,server_latency_ns,addr
222,625,0,0x1534880
223,527,0,0x15d05c0
224,452,0,0x166c300
225,440,0,0x1708040
226,441,0,0x17a3d80
227,459,0,0x183fac0
228,413,0,0x18db800
229,519,0,0x1977540
230,422,0,0x1a13280
231,424,0,0x1aaefc0
232,491,0,0x1b4ad00
233,459,0,0x1be6a40
234,762,0,0x1c82780
235,440,0,0x1d1e4c0
236,425,0,0x1dba200
237,511,0,0x1e55f40
238,500,0,0x1ef1c80
239,527,0,0x1f8d9c0
240,448,0,0x2029700
241,422,0,0x20c5440
242,497,0,0x2161180
243,497,0,0x21fcec0
244,625,0,0x2298c00
245,419,0,0x2334940
246,420,0,0x23d0680
247,490,0,0x246c3c0
248,456,0,0x2508100
249,422,0,0x25a3e40
250,501,0,0x263fb80
251,424,0,0x26db8c0
252,808,0,0x2777600
253,539,0,0x2813340
254,834,0,0x28af080
255,436,0,0x294adc0
256,417,0,0x29e6b00
257,494,0,0x2a82840
258,1014,0,0x2b1e580
259,507,0,0x2bba2c0
260,447,0,0x2c56000
261,424,0,0x2cf1d40
262,498,0,0x2d8da80
263,433,0,0x2e297c0
264,458,0,0x2ec5500
265,642,0,0x2f61240
266,436,0,0x2ffcf80
267,426,0,0x3098cc0
268,450,0,0x3134a00
269,934,0,0x31d0740
270,453,0,0x326c480
271,491,0,0x33081c0
272,492,0,0x33a3f00
273,1045,0,0x343fc40
274,416,0,0x34db980
275,1045,0,0x35776c0
276,409,0,0x3613400
277,496,0,0x36af140
278,431,0,0x374ae80
279,436,0,0x37e6bc0
280,531,0,0x3882900
281,449,0,0x391e640
282,448,0,0x39ba380
283,437,0,0x3a560c0
284,477,0,0x3af1e00
285,415,0,0x3b8db40
286,517,0,0x3c29880
287,422,0,0x3cc55c0
288,492,0,0x3d61300
289,479,0,0x3dfd040
290,508,0,0x3e98d80
291,658,0,0x3f34ac0
292,451,0,0x3fd0800
293,411,0,0x406c540
294,417,0,0x4108280
295,436,0,0x41a3fc0
296,494,0,0x423fd00
297,506,0,0x42dba40
298,506,0,0x4377780
299,447,0,0x44134c0
300,458,0,0x44af200
301,455,0,0x454af40
302,414,0,0x45e6c80
303,458,0,0x46829c0
304,423,0,0x471e700
305,789,0,0x47ba440
306,661,0,0x4856180
307,763,0,0x48f1ec0
308,812,0,0x498dc00
309,450,0,0x4a29940
310,1033,0,0x4ac5680
311,436,0,0x4b613c0
312,418,0,0x4bfd100
313,480,0,0x4c98e40
314,436,0,0x4d34b80
315,449,0,0x4dd08c0
316,444,0,0x4e6c600
317,414,0,0x4f08340
318,414,0,0x4fa4080
319,416,0,0x503fdc0
320,419,0,0x50dbb00
321,492,0,0x5177840
322,842,0,0x5213580
323,447,0,0x52af2c0
324,431,0,0x534b000
325,423,0,0x53e6d40
326,534,0,0x5482a80
327,1317,0,0x551e7c0
328,414,0,0x55ba500
329,450,0,0x5656240
330,444,0,0x56f1f80
331,452,0,0x578dcc0
332,422,0,0x5829a00
333,419,0,0x58c5740
334,825,0,0x5961480
335,433,0,0x59fd1c0
336,424,0,0x5a98f00
337,424,0,0x5b34c40
338,989,0,0x5bd0980
339,440,0,0x5c6c6c0
340,416,0,0x5d08400
341,482,0,0x5da4140
342,433,0,0x5e3fe80
343,426,0,0x5edbbc0
344,422,0,0x5f77900
345,517,0,0x6013640
346,447,0,0x60af380
347,409,0,0x614b0c0
348,525,0,0x61e6e00
349,522,0,0x6282b40
350,423,0,0x631e880
351,416,0,0x63ba5c0
352,523,0,0x6456300
353,433,0,0x64f2040
354,833,0,0x658dd80
355,683,0,0x6629ac0
356,441,0,0x66c5800
357,450,0,0x6761540
358,414,0,0x67fd280
359,431,0,0x6898fc0
360,417,0,0x6934d00
361,516,0,0x69d0a40
362,425,0,0x6a6c780
363,421,0,0x6b084c0
364,518,0,0x6ba4200
365,410,0,0x6c3ff40
366,515,0,0x6cdbc80
367,453,0,0x6d779c0
368,1105,0,0x6e13700
369,488,0,0x6eaf440
370,412,0,0x6f4b180
371,520,0,0x6fe6ec0
372,450,0,0x7082c00
373,428,0,0x711e940
374,487,0,0x71ba680
375,563,0,0x72563c0
376,466,0,0x72f2100
377,435,0,0x738de40
378,425,0,0x7429b80
