index,rtt_ns,server_latency_ns,addr
217,28382,8,0x1457ef80
218,28959,8,0x1461acc0
219,28182,8,0x146b6a00
220,27640,8,0x14752740
221,28036,8,0x147ee480
222,29509,8,0x1488a1c0
223,28258,8,0x14925f00
224,28702,8,0x149c1c40
225,27169,8,0x14a5d980
226,29889,8,0x14af96c0
227,28142,8,0x14b95400
228,27828,8,0x14c31140
229,27731,8,0x14ccce80
230,29053,8,0x14d68bc0
231,27648,8,0x14e04900
232,27804,8,0x14ea0640
233,27878,8,0x14f3c380
234,28968,8,0x14fd80c0
235,28291,8,0x15073e00
236,34798,8,0x1510fb40
237,27586,8,0x151ab880
238,29237,8,0x152475c0
239,28083,8,0x152e3300
240,27560,8,0x1537f040
241,28332,8,0x1541ad80
242,31963,8,0x154b6ac0
243,28688,8,0x15552800
244,28595,8,0x155ee540
245,27636,8,0x1568a280
246,31391,8,0x15725fc0
247,29706,8,0x157c1d00
248,33113,8,0x1585da40
249,32197,8,0x158f9780
250,36163,8,0x159954c0
251,34355,8,0x15a31200
252,28557,8,0x15accf40
253,27539,8,0x15b68c80
254,28934,8,0x15c049c0
255,29549,8,0x15ca0700
256,28461,8,0x15d3c440
257,27590,8,0x15dd8180
258,29981,8,0x15e73ec0
259,29903,8,0x15f0fc00
260,27545,8,0x15fab940
261,26914,8,0x16047680
262,29193,8,0x160e33c0
263,29679,8,0x1617f100
264,28485,8,0x1621ae40
265,27847,8,0x162b6b80
266,28489,8,0x163528c0
267,29311,8,0x163ee600
268,27897,8,0x1648a340
269,27200,8,0x16526080
270,29066,8,0x165c1dc0
271,29584,8,0x1665db00
272,27283,8,0x166f9840
273,27401,8,0x16795580
274,29846,8,0x168312c0
275,29652,8,0x168cd000
276,27771,8,0x16968d40
277,26917,8,0x16a04a80
278,28879,8,0x16aa07c0
279,30063,8,0x16b3c500
280,28056,8,0x16bd8240
281,27605,8,0x16c73f80
282,30284,8,0x16d0fcc0
283,29092,8,0x16daba00
284,27516,8,0x16e47740
285,27466,8,0x16ee3480
286,29436,8,0x16f7f1c0
287,29234,8,0x1701af00
288,27207,8,0x170b6c40
289,27545,8,0x17152980
290,30000,8,0x171ee6c0
291,30081,8,0x1728a400
292,28100,8,0x17326140
293,27854,8,0x173c1e80
294,28667,8,0x1745dbc0
295,28642,8,0x174f9900
296,27011,8,0x17595640
297,27355,8,0x17631380
298,29512,8,0x176cd0c0
299,28653,8,0x17768e00
300,28246,8,0x17804b40
301,27244,8,0x178a0880
302,28929,8,0x1793c5c0
303,27830,8,0x179d8300
304,28122,8,0x17a74040
305,28109,8,0x17b0fd80
306,29500,8,0x17babac0
307,29106,8,0x17c47800
308,28005,8,0x17ce3540
309,27483,8,0x17d7f280
310,30304,8,0x17e1afc0
311,29149,8,0x17eb6d00
312,32396,8,0x17f52a40
313,33772,8,0x17fee780
314,35493,8,0x1808a4c0
315,34930,8,0x18126200
316,29086,8,0x181c1f40
317,27425,8,0x1825dc80
318,29488,8,0x182f99c0
319,28668,8,0x18395700
320,29876,8,0x18431440
321,28095,8,0x184cd180
322,30610,8,0x18568ec0
323,28778,8,0x18604c00
324,28390,8,0x186a0940
325,27805,8,0x1873c680
326,28582,8,0x187d83c0
327,29567,8,0x18874100
328,28430,8,0x1890fe40
329,28291,8,0x189abb80
330,28265,8,0x18a478c0
331,28925,8,0x18ae3600
332,28323,8,0x18b7f340
333,27020,8,0x18c1b080
334,29118,8,0x18cb6dc0
335,28576,8,0x18d52b00
336,27861,8,0x18dee840
337,27285,8,0x18e8a580
338,29589,8,0x18f262c0
339,29810,8,0x18fc2000
340,28809,8,0x1905dd40
341,27097,8,0x190f9a80
342,28611,8,0x191957c0
343,29913,8,0x19231500
344,27828,8,0x192cd240
345,27452,8,0x19368f80
346,29049,8,0x19404cc0
347,29813,8,0x194a0a00
348,28400,8,0x1953c740
349,27728,8,0x195d8480
350,28813,8,0x196741c0
351,29223,8,0x1970ff00
352,27444,8,0x197abc40
353,27677,8,0x19847980
354,30431,8,0x198e36c0
355,29457,8,0x1997f400
356,28146,8,0x19a1b140
357,27778,8,0x19ab6e80
358,28835,8,0x19b52bc0
359,30109,8,0x19bee900
360,28008,8,0x19c8a640
361,28330,8,0x19d26380
362,28683,8,0x19dc20c0
363,29416,8,0x19e5de00
364,27503,8,0x19ef9b40
365,26088,8,0x19f95880
366,28430,8,0x1a0315c0
367,28531,8,0x1a0cd300
368,27088,8,0x1a169040
369,27687,8,0x1a204d80
370,35123,8,0x1a2a0ac0
371,30615,8,0x1a33c800
372,27881,8,0x1a3d8540
373,28170,8,0x1a474280
374,29590,8,0x1a50ffc0
375,29517,8,0x1a5abd00
376,33515,8,0x1a647a40
377,33304,8,0x1a6e3780
378,34567,8,0x1a77f4c0
379,35064,8,0x1a81b200
380,28992,8,0x1a8b6f40
381,27239,8,0x1a952c80
382,29753,8,0x1a9ee9c0
383,28987,8,0x1aa8a700
384,28330,8,0x1ab26440
385,28731,8,0x1abc2180
386,31014,8,0x1ac5dec0
387,28971,8,0x1acf9c00
388,27433,8,0x1ad95940
389,27617,8,0x1ae31680
390,29206,8,0x1aecd3c0
391,29324,8,0x1af69100
392,27407,8,0x1b004e40
393,28041,8,0x1b0a0b80
394,30282,8,0x1b13c8c0
395,29314,8,0x1b1d8600
396,28206,8,0x1b274340
397,27369,8,0x1b310080
398,29250,8,0x1b3abdc0
399,29583,8,0x1b447b00
400,27933,8,0x1b4e3840
401,27885,8,0x1b57f580
402,29782,8,0x1b61b2c0
403,28419,8,0x1b6b7000
404,27650,8,0x1b752d40
405,28621,8,0x1b7eea80
406,28803,8,0x1b88a7c0
407,28437,8,0x1b926500
408,28468,8,0x1b9c2240
409,27528,8,0x1ba5df80
410,28478,8,0x1baf9cc0
411,28400,8,0x1bb95a00
412,28201,8,0x1bc31740
413,27514,8,0x1bccd480
414,29020,8,0x1bd691c0
415,28957,8,0x1be04f00
416,28926,8,0x1bea0c40
417,27489,8,0x1bf3c980
418,29643,8,0x1bfd86c0
419,28908,8,0x1c074400
420,28162,8,0x1c110140
421,27933,8,0x1c1abe80
422,28734,8,0x1c247bc0
423,28269,8,0x1c2e3900
424,28350,8,0x1c37f640
425,27824,8,0x1c41b380
426,28889,8,0x1c4b70c0
427,28722,8,0x1c552e00
428,28027,8,0x1c5eeb40
429,27420,8,0x1c68a880
430,29817,8,0x1c7265c0
