index,rtt_ns,server_latency_ns,addr
217,45452,8,0x1457ef80
218,45794,8,0x1461acc0
219,47922,8,0x146b6a00
220,44060,8,0x14752740
221,44398,8,0x147ee480
222,46001,8,0x1488a1c0
223,46560,8,0x14925f00
224,44067,8,0x149c1c40
225,45158,8,0x14a5d980
226,53351,8,0x14af96c0
227,44136,8,0x14b95400
228,43682,8,0x14c31140
229,44319,8,0x14ccce80
230,45344,8,0x14d68bc0
231,45981,8,0x14e04900
232,44137,8,0x14ea0640
233,48610,8,0x14f3c380
234,45393,8,0x14fd80c0
235,44836,8,0x15073e00
236,61082,8,0x1510fb40
237,44756,8,0x151ab880
238,45627,8,0x152475c0
239,45538,8,0x152e3300
240,44229,8,0x1537f040
241,52496,8,0x1541ad80
242,52149,8,0x154b6ac0
243,43928,8,0x15552800
244,45607,8,0x155ee540
245,45026,8,0x1568a280
246,54215,8,0x15725fc0
247,45371,8,0x157c1d00
248,45572,8,0x1585da40
249,45743,8,0x158f9780
250,46483,8,0x159954c0
251,43794,8,0x15a31200
252,45379,8,0x15accf40
253,44999,8,0x15b68c80
254,46199,8,0x15c049c0
255,44433,8,0x15ca0700
256,45533,8,0x15d3c440
257,44834,8,0x15dd8180
258,82145,8,0x15e73ec0
259,38161,8,0x15f0fc00
260,34788,8,0x15fab940
261,34554,8,0x16047680
262,39685,8,0x160e33c0
263,33885,8,0x1617f100
264,33099,8,0x1621ae40
265,33997,8,0x162b6b80
266,34916,8,0x163528c0
267,33678,8,0x163ee600
268,35668,8,0x1648a340
269,36035,8,0x16526080
270,34610,8,0x165c1dc0
271,34997,8,0x1665db00
272,34008,8,0x166f9840
273,34737,8,0x16795580
274,39581,8,0x168312c0
275,33677,8,0x168cd000
276,34428,8,0x16968d40
277,34015,8,0x16a04a80
278,35396,8,0x16aa07c0
279,33960,8,0x16b3c500
280,33798,8,0x16bd8240
281,33757,8,0x16c73f80
282,35642,8,0x16d0fcc0
283,35964,8,0x16daba00
284,34810,8,0x16e47740
285,34304,8,0x16ee3480
286,34942,8,0x16f7f1c0
287,33961,8,0x1701af00
288,33492,8,0x170b6c40
289,34444,8,0x17152980
290,39590,8,0x171ee6c0
291,35226,8,0x1728a400
292,33441,8,0x17326140
293,33948,8,0x173c1e80
294,34929,8,0x1745dbc0
295,34411,8,0x174f9900
296,33234,8,0x17595640
297,35381,8,0x17631380
298,34826,8,0x176cd0c0
299,34231,8,0x17768e00
300,33998,8,0x17804b40
301,33814,8,0x178a0880
302,35338,8,0x1793c5c0
303,34715,8,0x179d8300
304,39247,8,0x17a74040
305,33583,8,0x17b0fd80
306,38821,8,0x17babac0
307,35308,8,0x17c47800
308,33693,8,0x17ce3540
309,33934,8,0x17d7f280
310,40523,8,0x17e1afc0
311,34535,8,0x17eb6d00
312,33996,8,0x17f52a40
313,34063,8,0x17fee780
314,35556,8,0x1808a4c0
315,34664,8,0x18126200
316,33541,8,0x181c1f40
317,34571,8,0x1825dc80
318,35356,8,0x182f99c0
319,34530,8,0x18395700
320,34080,8,0x18431440
321,34150,8,0x184cd180
322,39808,8,0x18568ec0
323,34117,8,0x18604c00
324,35714,8,0x186a0940
325,34147,8,0x1873c680
326,34692,8,0x187d83c0
327,33865,8,0x18874100
328,34491,8,0x1890fe40
329,33868,8,0x189abb80
330,36246,8,0x18a478c0
331,34109,8,0x18ae3600
332,34049,8,0x18b7f340
333,34583,8,0x18c1b080
334,34840,8,0x18cb6dc0
335,33746,8,0x18d52b00
336,33866,8,0x18dee840
337,33866,8,0x18e8a580
338,40492,8,0x18f262c0
339,34316,8,0x18fc2000
340,34749,8,0x1905dd40
341,33569,8,0x190f9a80
342,34728,8,0x191957c0
343,34326,8,0x19231500
344,34044,8,0x192cd240
345,33761,8,0x19368f80
346,35371,8,0x19404cc0
347,34490,8,0x194a0a00
348,38682,8,0x1953c740
349,33624,8,0x195d8480
350,34885,8,0x196741c0
351,34261,8,0x1970ff00
352,33948,8,0x197abc40
353,35396,8,0x19847980
354,38707,8,0x198e36c0
355,35357,8,0x1997f400
356,34011,8,0x19a1b140
357,34062,8,0x19ab6e80
358,49668,8,0x19b52bc0
359,38513,8,0x19bee900
360,39065,8,0x19c8a640
361,38142,8,0x19d26380
362,39577,8,0x19dc20c0
363,38809,8,0x19e5de00
364,120431,8,0x19ef9b40
365,62686,8,0x19f95880
366,51335,8,0x1a0315c0
367,48859,8,0x1a0cd300
368,48095,8,0x1a169040
369,54664,8,0x1a204d80
370,73839,8,0x1a2a0ac0
371,49441,8,0x1a33c800
372,44379,8,0x1a3d8540
373,46299,8,0x1a474280
374,61568,8,0x1a50ffc0
375,44129,8,0x1a5abd00
376,44020,8,0x1a647a40
377,45694,8,0x1a6e3780
378,45691,8,0x1a77f4c0
379,45542,8,0x1a81b200
380,44967,8,0x1a8b6f40
381,45932,8,0x1a952c80
382,45216,8,0x1a9ee9c0
383,44305,8,0x1aa8a700
384,48369,8,0x1ab26440
385,45851,8,0x1abc2180
386,54587,8,0x1ac5dec0
387,44989,8,0x1acf9c00
388,45887,8,0x1ad95940
389,48360,8,0x1ae31680
390,58650,8,0x1aecd3c0
391,46706,8,0x1af69100
392,44911,8,0x1b004e40
393,45585,8,0x1b0a0b80
394,46589,8,0x1b13c8c0
395,44344,8,0x1b1d8600
396,45461,8,0x1b274340
397,46016,8,0x1b310080
398,48458,8,0x1b3abdc0
399,44364,8,0x1b447b00
400,45233,8,0x1b4e3840
401,45594,8,0x1b57f580
402,53799,8,0x1b61b2c0
403,44471,8,0x1b6b7000
404,45166,8,0x1b752d40
405,45054,8,0x1b7eea80
406,45472,8,0x1b88a7c0
407,43664,8,0x1b926500
408,45391,8,0x1b9c2240
409,45938,8,0x1ba5df80
410,52187,8,0x1baf9cc0
411,53753,8,0x1bb95a00
412,49010,8,0x1bc31740
413,46403,8,0x1bccd480
414,46183,8,0x1bd691c0
415,44442,8,0x1be04f00
416,45057,8,0x1bea0c40
417,55678,8,0x1bf3c980
418,56195,8,0x1bfd86c0
419,46083,8,0x1c074400
420,44563,8,0x1c110140
421,46041,8,0x1c1abe80
422,45649,8,0x1c247bc0
423,44947,8,0x1c2e3900
424,43986,8,0x1c37f640
425,45827,8,0x1c41b380
426,48773,8,0x1c4b70c0
427,45433,8,0x1c552e00
428,44127,8,0x1c5eeb40
429,46480,8,0x1c68a880
430,45881,8,0x1c7265c0
431,58837,8,0x1c7c2300
432,49085,8,0x1c85e040
433,48354,8,0x1c8f9d80
434,65811,8,0x1c995ac0
435,48723,8,0x1ca31800
436,43961,8,0x1cacd540
437,45559,8,0x1cb69280
438,50496,8,0x1cc04fc0
439,47785,8,0x1cca0d00
440,44282,8,0x1cd3ca40
441,45871,8,0x1cdd8780
442,45664,8,0x1ce744c0
443,45985,8,0x1cf10200
444,43411,8,0x1cfabf40
445,46676,8,0x1d047c80
446,62032,8,0x1d0e39c0
447,45159,8,0x1d17f700
448,45590,8,0x1d21b440
449,45134,8,0x1d2b7180
450,52146,8,0x1d352ec0
451,58196,8,0x1d3eec00
452,51340,8,0x1d48a940
453,50577,8,0x1d526680
454,47899,8,0x1d5c23c0
455,46030,8,0x1d65e100
456,48056,8,0x1d6f9e40
457,45049,8,0x1d795b80
458,45213,8,0x1d8318c0
459,43897,8,0x1d8cd600
460,53593,8,0x1d969340
461,45628,8,0x1da05080
462,45536,8,0x1daa0dc0
463,44714,8,0x1db3cb00
464,45586,8,0x1dbd8840
465,43702,8,0x1dc74580
466,70467,8,0x1dd102c0
467,51352,8,0x1ddac000
468,48155,8,0x1de47d40
469,45444,8,0x1dee3a80
470,46251,8,0x1df7f7c0
471,58320,8,0x1e01b500
472,51557,8,0x1e0b7240
473,49274,8,0x1e152f80
474,48622,8,0x1e1eecc0
475,47843,8,0x1e28aa00
476,48276,8,0x1e326740
477,48664,8,0x1e3c2480
478,48355,8,0x1e45e1c0
479,49216,8,0x1e4f9f00
480,48781,8,0x1e595c40
481,48392,8,0x1e631980
482,60409,8,0x1e6cd6c0
483,47799,8,0x1e769400
484,48646,8,0x1e805140
485,48380,8,0x1e8a0e80
486,50491,8,0x1e93cbc0
487,47034,8,0x1e9d8900
488,48315,8,0x1ea74640
489,48854,8,0x1eb10380
490,47892,8,0x1ebac0c0
491,58073,8,0x1ec47e00
492,59829,8,0x1ece3b40
493,48435,8,0x1ed7f880
494,47529,8,0x1ee1b5c0
495,47393,8,0x1eeb7300
496,52022,8,0x1ef53040
497,48202,8,0x1efeed80
498,56332,8,0x1f08aac0
499,46813,8,0x1f126800
500,49400,8,0x1f1c2540
501,48914,8,0x1f25e280
502,58814,8,0x1f2f9fc0
503,46906,8,0x1f395d00
504,49413,8,0x1f431a40
505,49144,8,0x1f4cd780
506,48823,8,0x1f5694c0
507,46955,8,0x1f605200
508,48608,8,0x1f6a0f40
509,52505,8,0x1f73cc80
510,60413,8,0x1f7d89c0
511,49211,8,0x1f874700
512,49666,8,0x1f910440
513,44897,8,0x1f9ac180
514,54013,8,0x1fa47ec0
515,48234,8,0x1fae3c00
516,45635,8,0x1fb7f940
517,45857,8,0x1fc1b680
518,45229,8,0x1fcb73c0
519,45099,8,0x1fd53100
520,47223,8,0x1fdeee40
521,46313,8,0x1fe8ab80
522,46445,8,0x1ff268c0
523,48596,8,0x1ffc2600
524,45704,8,0x2005e340
525,120661,8,0x200fa080
526,79295,8,0x20195dc0
527,48873,8,0x20231b00
528,46485,8,0x202cd840
529,46589,8,0x20369580
530,58369,8,0x204052c0
531,48184,8,0x204a1000
532,55101,8,0x2053cd40
533,46458,8,0x205d8a80
534,45266,8,0x206747c0
535,46038,8,0x20710500
536,45032,8,0x207ac240
537,45375,8,0x20847f80
538,44656,8,0x208e3cc0
539,46376,8,0x2097fa00
540,46327,8,0x20a1b740
541,45864,8,0x20ab7480
542,50348,8,0x20b531c0
543,45475,8,0x20beef00
544,45533,8,0x20c8ac40
545,45121,8,0x20d26980
546,56655,8,0x20dc26c0
547,46228,8,0x20e5e400
548,46162,8,0x20efa140
549,45678,8,0x20f95e80
550,45656,8,0x21031bc0
551,46410,8,0x210cd900
552,45303,8,0x21169640
553,46026,8,0x21205380
554,46026,8,0x212a10c0
555,46021,8,0x2133ce00
556,46132,8,0x213d8b40
557,46311,8,0x21474880
558,45754,8,0x215105c0
559,45684,8,0x215ac300
560,44912,8,0x21648040
561,48387,8,0x216e3d80
562,52951,8,0x2177fac0
563,59743,8,0x2181b800
564,48303,8,0x218b7540
565,46768,8,0x21953280
566,51885,8,0x219eefc0
567,47511,8,0x21a8ad00
568,47994,8,0x21b26a40
569,47080,8,0x21bc2780
570,48645,8,0x21c5e4c0
571,48096,8,0x21cfa200
572,48151,8,0x21d95f40
573,47787,8,0x21e31c80
574,53229,8,0x21ecd9c0
575,48102,8,0x21f69700
576,48953,8,0x22005440
577,46805,8,0x220a1180
578,56630,8,0x2213cec0
579,48516,8,0x221d8c00
580,48235,8,0x22274940
581,47375,8,0x22310680
582,48943,8,0x223ac3c0
583,48075,8,0x22448100
584,48735,8,0x224e3e40
585,47321,8,0x2257fb80
586,49105,8,0x2261b8c0
587,46970,8,0x226b7600
588,51714,8,0x22753340
589,47484,8,0x227ef080
590,49435,8,0x2288adc0
591,47006,8,0x22926b00
592,47526,8,0x229c2840
593,47525,8,0x22a5e580
594,55252,8,0x22afa2c0
595,49612,8,0x22b96000
596,47407,8,0x22c31d40
597,47707,8,0x22ccda80
598,48783,8,0x22d697c0
599,49009,8,0x22e05500
600,47853,8,0x22ea1240
601,47666,8,0x22f3cf80
